scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
New Flavor,Blue Velvet Cloud,Ice Cream,New,Browsing,Afternoon,Weekday,Spring,Clear,15%,Medium,Exciting,☁️,Meet our brand new Blue Velvet Cloud and experience a flavor that feels like walking on a soft dream
Seasonal Flavor,Watermelon Sorbet,Ice Cream,Returning,App Open,Morning,Weekend,Summer,Hot,0%,Low,Friendly,🍉,Summer is finally here and so is our refreshing Watermelon Sorbet so grab a scoop before it melts
Limited Edition,Rose Pistachio Brownie,Dessert,Premium,Past Purchase,Evening,Weekday,Winter,Cold,10%,High,Luxury,🌹,Indulge in our limited edition Rose Pistachio Brownie for a sophisticated treat that defines true elegance and taste
Premium Collection,Dark Chocolate Truffle,Ice Cream,Loyal,Browsing,Night,Weekend,Monsoon,Rainy,0%,Medium,Premium,🍫,Discover the ultimate indulgence with our new premium Dark Chocolate Truffle crafted for the most discerning chocolate lovers
Chef Special,Guava Chili Sorbet,Ice Cream,Inactive,Idle,Afternoon,Weekday,Summer,Sunny,20%,Low,Playful,🌶️,Our chef has created a masterpiece with the Guava Chili Sorbet for those who love a spicy kick
Restocked Product,Tiramisu Jar,Dessert,Returning,Past Purchase,Evening,Weekend,Spring,Clear,0%,High,Urgent,☕,The wait is over as our famous Tiramisu Jar is back in stock for your late night cravings
Fresh Arrival,Nutella Stuffed Croissant,Dessert,First Order,App Open,Morning,Weekday,Winter,Cold,Free Delivery,Medium,Warm,🥐,Our kitchen just whipped up a fresh batch of Nutella Stuffed Croissant so come and get yours now
New Combo,Oreo Sundae,Sundae,New,Browsing,Afternoon,Weekend,Summer,Hot,Buy1Get1,Medium,Exciting,🍨,Try our new Oreo Sundae combo deal today and enjoy double the crunch with your favorite person now
Festival Dessert,Gulab Jamun Cheesecake,Dessert,Loyal,Idle,Evening,Weekday,Spring,Clear,25%,Low,Warm,🍰,Celebrate the festivities with our special Gulab Jamun Cheesecake which is the perfect fusion of sweet traditional flavors
Exclusive Launch,Petrichor Pistachio,Ice Cream,Premium,App Open,Night,Weekend,Monsoon,Rainy,0%,High,Luxury,🌧️,Be the first to experience our exclusive Petrichor Pistachio launch which captures the scent of rain in cream
New Flavor,Mango Chili Sorbet,Ice Cream,Returning,Browsing,Afternoon,Weekday,Summer,Sunny,15%,Medium,Exciting,🥭,Experience the magic of our new Mango Chili Sorbet which brings a bold spicy twist to your fruit
Seasonal Flavor,Gingerbread Kulfi Bar,Ice Cream,New,App Open,Evening,Weekend,Winter,Cold,10%,Low,Friendly,🍦,Our limited Gingerbread Kulfi Bar has arrived just in time to make your cold winter evenings much sweeter
Limited Edition,Lotus Biscoff Tart,Dessert,Premium,Past Purchase,Morning,Weekday,Spring,Clear,0%,High,Urgent,🥧,Grab our limited edition Lotus Biscoff Tart before it disappears forever from our exclusive seasonal dessert menu today
Premium Collection,Belgian Chocolate,Ice Cream,Loyal,Idle,Night,Weekend,Summer,Hot,Free Delivery,Medium,Premium,🍫,Elevate your dessert game with our new Belgian Chocolate collection which offers the richest cocoa experience imaginable now
Chef Special,Cardamom Saffron,Ice Cream,Inactive,Browsing,Afternoon,Weekday,Winter,Cold,20%,Low,Luxury,🍨,The chef recommends our new Cardamom Saffron for an aromatic journey through the finest traditional dessert flavors tonight
Restocked Product,Choco Lava Brownie,Dessert,Returning,Past Purchase,Evening,Weekend,Monsoon,Rainy,0%,High,Urgent,🌋,Your favorite Choco Lava Brownie is finally back so order now to enjoy that warm gooey center again
Fresh Arrival,Blueberry Cheesecake,Dessert,First Order,App Open,Morning,Weekday,Spring,Clear,25%,Medium,Exciting,🫐,Fresh from the bakery our Blueberry Cheesecake is ready for you to discover its creamy and fruity layers
New Combo,Triple Scoop Sundae,Sundae,New,Browsing,Afternoon,Weekend,Summer,Hot,30%,Medium,Playful,🍨,Check out our new Triple Scoop Sundae combo and mix your favorite flavors for the ultimate weekend treat
Festival Dessert,Rasmalai Cake Slice,Dessert,Loyal,Idle,Evening,Weekday,Winter,Cold,Buy1Get1,Low,Warm,🍰,Our Rasmalai Cake Slice is the perfect festival companion so treat yourself to this royal and creamy delight
Exclusive Launch,Caramel Pecan Tart,Dessert,Premium,App Open,Night,Weekend,Summer,Sunny,0%,High,Luxury,🥧,Presenting the exclusive launch of our Caramel Pecan Tart which is a nutty masterpiece available only for members
New Flavor,Banana Caramel Swirl,Ice Cream,Returning,Browsing,Afternoon,Weekday,Spring,Clear,15%,Medium,Friendly,🍌,Say hello to our new Banana Caramel Swirl and discover how sweet your afternoon can really be today
